article_no,title,url,date,category
152169,"[불어불문학과] ""교양프랑스어(1)"" 2026-1학기 기말고사 시험감독 보조요원 모집(1명)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152169&article.offset=110&articleLimit=10&noCat=29,2026.05.26,일반
152141,홍익대학교 교직원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152141&article.offset=110&articleLimit=10&noCat=35,2026.05.26,채용/모집
152107,2026 한국장학재단 박사우수장학생(이공계) 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152107&noCat=379,2026.05.22,장학
152106,2026 한국장학재단 석사우수장학생(이공계) 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152106&noCat=379,2026.05.22,장학
152104,[서울캠퍼스]2026년 2학기 국가근로장학금 1차 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152104&article.offset=110&articleLimit=10&noCat=501,2026.05.22,장학
152071,[대학혁신지원사업] 하계 기초학습역량강화(미술) 참여자 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152071&article.offset=110&articleLimit=10&noCat=511,2026.05.22,교수학습지원
152066,2026년 2학기 교내장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152066&noCat=24,2026.05.22,장학
152056,[모집] 2026 창의·융합 디자인 엔지니어링 캠프,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152056&article.offset=120&articleLimit=10&noCat=514,2026.05.22,학생활동
152009,[한국농어촌희망재단] 2026년 2학기 청년창업농장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152009&article.offset=120&articleLimit=10&noCat=501,2026.05.21,장학
152006,[아산시미래장학회] 2026년 희망 장학금 장학생 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152006&article.offset=120&articleLimit=10&noCat=501,2026.05.21,장학
152005,[강화군] 2026년 상반기 강화군 대학생 등록금 지원,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152005&article.offset=120&articleLimit=10&noCat=501,2026.05.21,장학
152004,2026년 6월 각 군 현역병 모집계획,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152004&article.offset=120&articleLimit=10&noCat=500,2026.05.21,학사
151995,"학생회관 1층 학생휴게실, 2층 여학생휴게실 임시폐쇄안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151995&article.offset=120&articleLimit=10&noCat=514,2026.05.21,학생활동
151990,[모집] 2026 여름특강 인공지능 자율주행 드론 코딩 및 제작실습 교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151990&article.offset=120&articleLimit=10&noCat=514,2026.05.21,학생활동
151985,[모집] 2026 여름특강 생성형 AI와 AI 에이전트 개발 교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151985&article.offset=130&articleLimit=10&noCat=514,2026.05.21,학생활동
151969,[중앙도서관] 도서관 서버 패치 작업에 따른 도서관 서비스 일시 중단,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151969&article.offset=130&articleLimit=10&noCat=29,2026.05.20,일반
151965,[산업디자인전공]디자인 실험 참가자 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151965&article.offset=130&articleLimit=10&noCat=29,2026.05.20,일반
151957,Adobe Creative Cloud Pro Plus 공동구매 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151957&article.offset=130&articleLimit=10&noCat=29,2026.05.20,일반
151916,[바이오헬스 혁신융합대학사업단] 2026 바이오헬스 다전공 설명회 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151916&article.offset=130&articleLimit=10&noCat=29,2026.05.19,일반
151902,2026학년도 하계계절학기 학점교류 신청 안내 (명지대학교),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151902&article.offset=130&articleLimit=10&noCat=500,2026.05.19,학사
151897,2026년 2학기 삼성드림클래스 대학생멘토 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151897&article.offset=130&articleLimit=10&noCat=501,2026.05.19,장학
151894,2026-1 졸업앨범 사진 촬영 안내(서울캠퍼스)_예약 링크 수정,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151894&article.offset=130&articleLimit=10&noCat=514,2026.05.19,학생활동
151884,[거창군] 2026년 1학기 거창군 지역출신 대학생 등록금 지원 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151884&article.offset=140&articleLimit=10&noCat=501,2026.05.19,장학
151854,[사회봉사 2시간] 26-1 재학생 지능정보서비스(인터넷·스마트폰) 과의존 예방교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151854&article.offset=140&articleLimit=10&noCat=514,2026.05.18,학생활동
151851,[사회봉사 3시간] 26-1 재학생 장애 인식개선 교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151851&article.offset=140&articleLimit=10&noCat=514,2026.05.18,학생활동
151830,[세종캠퍼스] 2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151830&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학
151828,[장학] 2026-1학기 신용카드수수료장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151828&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학
151827,2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151827&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학
151822,2026년 국가근로 하계방학 집중근로 희망근로지 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151822&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학
151817,2026학년도 하계계절학기 학점교류 신청 안내 (가톨릭대학교),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151817&article.offset=140&articleLimit=10&noCat=500,2026.05.18,학사
151815,2026학년도 하계계절학기 학점교류 신청 안내 (숭실대학교),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151815&article.offset=140&articleLimit=10&noCat=500,2026.05.18,학사
151812,2026학년도 1학기 사이버강좌 기말고사 시행안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151812&article.offset=140&articleLimit=10&noCat=500,2026.05.18,학사
151810,2026학년도 1학기 강의평가 시행 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151810&article.offset=150&articleLimit=10&noCat=500,2026.05.18,학사
151808,2026학년도 1학기 핵심역량진단검사 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151808&article.offset=150&articleLimit=10&noCat=500,2026.05.18,학사
151791,세종캠퍼스 불용품 처리업체 입찰 선정공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151791&article.offset=150&articleLimit=10&noCat=36,2026.05.15,입찰
151783,2026학년도 1학기 대학원 강의평가 및 성적 조회 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=151783&noCat=378,2026.05.15,수업
151747,2026학년도 하계계절학기 학점교류 신청 안내 (서울과학기술대학교),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151747&article.offset=150&articleLimit=10&noCat=500,2026.05.14,학사
151744,[창업교육센터] 2026 4차 창업 특강 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151744&article.offset=150&articleLimit=10&noCat=514,2026.05.14,학생활동
151729,[제26-08호][홍익대학교 체육부](야구부) 야구공 등 하계 훈련장비 14종(288ea),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151729&article.offset=150&articleLimit=10&noCat=36,2026.05.14,입찰
