article_no,title,url,date,category
152753,2026년 8월 조기졸업 신청서 제출 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152753&article.offset=80&articleLimit=10&noCat=500,2026.06.08,학사
152749,[홍대신문사] 제51회 홍대 학‧예술상 작품 현상 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152749&article.offset=90&articleLimit=10&noCat=514,2026.06.08,학생활동
152702,2026년 소선나눔기금 과학기술 미래인재 장학생 모집 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152702&article.offset=90&articleLimit=10&noCat=501,2026.06.05,장학/근로
152444,[서울 학부생] 2026-1학기 학생 포상 추천 접수,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152444&article.offset=90&articleLimit=10&noCat=514,2026.06.02,학생활동
152433,2026학년도 1학기 성적조회 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152433&article.offset=90&articleLimit=10&noCat=500,2026.06.02,학사
152392,"[국제언어교육원] 2026학년도 여름 학기 정규 어학(대체강좌,맞춤형,영어집중과정,토익관련) 강좌 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152392&noCat=23,2026.06.01,학사
152390,[세종캠퍼스] 2026학년도 2학기 재입학 추가 접수 안내(학부),https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152390&noCat=23,2026.06.01,학사
152386,2026 여름학기 교내외국어과정 모집[토익/토익스피킹/토플],https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152386&noCat=23,2026.06.01,학사
152370,[모집] 2026 저탄소/에너지 기술 컨소시엄 SUMMER SCHOOL,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152370&article.offset=100&articleLimit=10&noCat=514,2026.06.01,학생활동
152307,[우양재단] 2026년 청년밥상 장학 신청,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152307&article.offset=100&articleLimit=10&noCat=501,2026.05.29,장학/근로
152213,2026학년도 1학기 인준 논문 및 개별연구과제 제출 안내(6.9.(화)~7.6.(월)) / Guidelines for submission of Approved Thesis and Research Report,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152213&noCat=377,2026.05.27,졸업
152203,"학생처(장학팀, 학생지원팀, 포스터 승인) 사무실 임시 이전 안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152203&article.offset=110&articleLimit=10&noCat=501,2026.05.27,장학/근로
152178,[세종캠퍼스] 2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152178&article.offset=110&articleLimit=10&noCat=501,2026.05.26,장학/근로
152177,2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152177&article.offset=110&articleLimit=10&noCat=501,2026.05.26,장학/근로
152141,홍익대학교 교직원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152141&article.offset=110&articleLimit=10&noCat=35,2026.05.26,취업/인턴
152107,2026 한국장학재단 박사우수장학생(이공계) 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152107&noCat=379,2026.05.22,장학/근로
152106,2026 한국장학재단 석사우수장학생(이공계) 모집 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=152106&noCat=379,2026.05.22,장학/근로
152104,[서울캠퍼스]2026년 2학기 국가근로장학금 1차 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152104&article.offset=110&articleLimit=10&noCat=501,2026.05.22,장학/근로
152066,2026년 2학기 교내장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=152066&noCat=24,2026.05.22,장학/근로
152056,[모집] 2026 창의·융합 디자인 엔지니어링 캠프,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152056&article.offset=120&articleLimit=10&noCat=514,2026.05.22,학생활동
152009,[한국농어촌희망재단] 2026년 2학기 청년창업농장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152009&article.offset=120&articleLimit=10&noCat=501,2026.05.21,장학/근로
152006,[아산시미래장학회] 2026년 희망 장학금 장학생 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152006&article.offset=120&articleLimit=10&noCat=501,2026.05.21,장학/근로
152005,[강화군] 2026년 상반기 강화군 대학생 등록금 지원,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152005&article.offset=120&articleLimit=10&noCat=501,2026.05.21,장학/근로
152004,2026년 6월 각 군 현역병 모집계획,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=152004&article.offset=120&articleLimit=10&noCat=500,2026.05.21,학사
151995,"학생회관 1층 학생휴게실, 2층 여학생휴게실 임시폐쇄안내",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151995&article.offset=120&articleLimit=10&noCat=514,2026.05.21,학생활동
151990,[모집] 2026 여름특강 인공지능 자율주행 드론 코딩 및 제작실습 교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151990&article.offset=120&articleLimit=10&noCat=514,2026.05.21,학생활동
151985,[모집] 2026 여름특강 생성형 AI와 AI 에이전트 개발 교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151985&article.offset=130&articleLimit=10&noCat=514,2026.05.21,학생활동
151897,2026년 2학기 삼성드림클래스 대학생멘토 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151897&article.offset=130&articleLimit=10&noCat=501,2026.05.19,장학/근로
151894,2026-1 졸업앨범 사진 촬영 안내(서울캠퍼스)_예약 링크 수정,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151894&article.offset=130&articleLimit=10&noCat=514,2026.05.19,학생활동
151884,[거창군] 2026년 1학기 거창군 지역출신 대학생 등록금 지원 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151884&article.offset=140&articleLimit=10&noCat=501,2026.05.19,장학/근로
151854,[사회봉사 2시간] 26-1 재학생 지능정보서비스(인터넷·스마트폰) 과의존 예방교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151854&article.offset=140&articleLimit=10&noCat=514,2026.05.18,학생활동
151851,[사회봉사 3시간] 26-1 재학생 장애 인식개선 교육,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151851&article.offset=140&articleLimit=10&noCat=514,2026.05.18,학생활동
151830,[세종캠퍼스] 2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151830&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학/근로
151828,[장학] 2026-1학기 신용카드수수료장학금 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151828&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학/근로
151827,2026학년도 1학기 사이버강좌 기말고사 시험감독 보조요원 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151827&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학/근로
151822,2026년 국가근로 하계방학 집중근로 희망근로지 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151822&article.offset=140&articleLimit=10&noCat=501,2026.05.18,장학/근로
151812,2026학년도 1학기 사이버강좌 기말고사 시행안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151812&article.offset=140&articleLimit=10&noCat=500,2026.05.18,학사
151810,2026학년도 1학기 강의평가 시행 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151810&article.offset=150&articleLimit=10&noCat=500,2026.05.18,학사
151808,2026학년도 1학기 핵심역량진단검사 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151808&article.offset=150&articleLimit=10&noCat=500,2026.05.18,학사
151744,[창업교육센터] 2026 4차 창업 특강 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151744&article.offset=150&articleLimit=10&noCat=514,2026.05.14,학생활동
151703,[모집] 2026 Digital Fabrication 교육 (3D 프린팅 & 디지털 제작 장비 교육),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151703&article.offset=150&articleLimit=10&noCat=514,2026.05.13,학생활동
151675,학사학위취득유예 신청 일정 안내(2026년 8월 졸업대상자),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151675&article.offset=150&articleLimit=10&noCat=500,2026.05.12,학사
151674,[마포청년창업취업지원센터 나루 X 허브릿지] 경험을 디자인하는 기획자 양성과정 참여자 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151674&article.offset=150&articleLimit=10&noCat=514,2026.05.12,학생활동
151614,[세종연구원] 2026년도 세종이도인재장학금 장학생 선발,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151614&article.offset=160&articleLimit=10&noCat=501,2026.05.11,장학/근로
151602,[서울캠퍼스] 2025학년도 후기(2026년 8월) 졸업예정자 전공명 선택 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151602&article.offset=160&articleLimit=10&noCat=500,2026.05.11,학사
151587,[한국장애인재활협회] H!두드림투게더 신규 대학(원)생 장학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151587&article.offset=160&articleLimit=10&noCat=501,2026.05.08,장학/근로
151563,[세종캠퍼스] 2025학년도 후기(2026년 8월) 졸업예정자 전공명 선택 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=151563&noCat=23,2026.05.08,학사
151521,"[인문사회융합인재양성사업(HUSS)] ""디지털 시대 - 디지털 휴머니즘과 르네상스""(ZOOM 참여)",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151521&article.offset=170&articleLimit=10&noCat=514,2026.05.07,학생활동
151514,"신입생 캠퍼스 가이드북 ""새 홍익 가족을 위하여"" 배포",https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151514&article.offset=170&articleLimit=10&noCat=514,2026.05.07,학생활동
151512,[홍대신문사] 제51회 홍대 학‧예술상 작품 현상 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151512&article.offset=170&articleLimit=10&noCat=514,2026.05.07,학생활동
151499,(졸업자 및 졸업예정자 대상) 미래 청년 일자리 참여자 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151499&article.offset=170&articleLimit=10&noCat=396,2026.05.06,취업/인턴
151474,(건강진료센터) [5월] 이달의 건강정보,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151474&article.offset=170&articleLimit=10&noCat=514,2026.05.06,학생활동
151457,[화성시인재육성재단] 2026년 주거비지원 장학금 장학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151457&article.offset=180&articleLimit=10&noCat=501,2026.05.06,장학/근로
151456,[화성시인재육성재단] 2026년 화성시인재육성재단 「꿈드림 장학금」 장학생 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151456&article.offset=180&articleLimit=10&noCat=501,2026.05.06,장학/근로
151449,[서울미래인재재단] 2026년 서울인재해외교환학생장학금 장학생 선발,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151449&article.offset=180&articleLimit=10&noCat=501,2026.05.06,장학/근로
151446,[은평구] 2026 상반기 은평구민 장학생 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151446&article.offset=180&articleLimit=10&noCat=501,2026.05.06,장학/근로
151338,표준현장실습 참여학생 모집 안내 (2026학년도 하계 계절학기),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151338&article.offset=190&articleLimit=10&noCat=396,2026.04.30,취업/인턴
151277,(서울캠퍼스) 2026학년도 하계 계절학기 일정 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151277&article.offset=190&articleLimit=10&noCat=500,2026.04.28,학사
151248,[국세청] 2025년 귀속 근로장려금 자녀장려금 정기신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151248&article.offset=190&articleLimit=10&noCat=501,2026.04.28,장학/근로
151165,[입학사정관실] 2026 HI-UP 멘토랑 모집(기간 연장),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151165&article.offset=200&articleLimit=10&noCat=514,2026.04.24,학생활동
151156,[서울/취업진로지원센터] 2026학년도 1학기 2차 어학인증시험 응시장학금 지원 안내(2026.04.26~2026.07.25),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151156&article.offset=200&articleLimit=10&noCat=396,2026.04.24,취업/인턴
151126,[서울캠퍼스]2026년도 1학기 사회봉사활동 실적 등록 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151126&article.offset=200&articleLimit=10&noCat=501,2026.04.24,장학/근로
151108,[입학사정관실] 2026 HI-UP 멘토랑 모집(기간 연장),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151108&article.offset=200&articleLimit=10&noCat=514,2026.04.23,학생활동
151067,[입학사정관실] 2026 HI-UP 멘토랑 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151067&article.offset=210&articleLimit=10&noCat=514,2026.04.23,학생활동
151000,[한국고등교육재단] 인재림 제6기 장학생 선발,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=151000&article.offset=210&articleLimit=10&noCat=501,2026.04.21,장학/근로
150965,2026년 5월 각 군 현역병 모집계획,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150965&article.offset=210&articleLimit=10&noCat=500,2026.04.21,학사
150948,⭐[서울캠퍼스] 2026 온라인 폭력 예방교육⭐,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150948&article.offset=220&articleLimit=10&noCat=500,2026.04.21,학사
150935,[서울미래인재재단] 서울 독립유공자 후손장학금 장학생 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150935&article.offset=220&articleLimit=10&noCat=501,2026.04.20,장학/근로
150929,[장애학생지원센터] 제46회 장애인의날 인식개선교육 이수캠페인(4/29(수)),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150929&article.offset=220&articleLimit=10&noCat=514,2026.04.20,학생활동
150924,[입학사정관실] 2026 HI-UP 멘토랑 모집,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150924&article.offset=220&articleLimit=10&noCat=514,2026.04.20,학생활동
150876,2026학년도 1학기 학위청구 논문 및 개별연구과제 양식 확인 및 심사 관련 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=150876&noCat=377,2026.04.17,졸업
150875,[익산시] 2026년 상반기 다다익산 장학생 선발 공고,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150875&article.offset=220&articleLimit=10&noCat=501,2026.04.17,장학/근로
150821,[구미시] 2026년도 구미시장학재단 장학생 선발,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150821&article.offset=220&articleLimit=10&noCat=501,2026.04.16,장학/근로
150819,2026학년도 2학기 재입학 신청 안내(학부생)(5.18~5.29 16:00),https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150819&article.offset=220&articleLimit=10&noCat=500,2026.04.16,학사
150689,"2026년 대학원 대통령과학장학금 신규장학생 선발 안내(한국장학재단, 국가우수 장학금)",https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-grad.do?mode=view&articleNo=150689&noCat=379,2026.04.13,장학/근로
150675,2026년 교내 모의토익 & 토익스피킹 공지,https://www.hongik.ac.kr/kr/newscenter/notice.do/kr/education/notice-undergrad.do?mode=view&articleNo=150675&noCat=23,2026.04.13,학사
150662,[장학팀] 교내장학생 선발시 사회봉사시간 기준 변경,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150662&article.offset=230&articleLimit=10&noCat=501,2026.04.13,장학/근로
150557,2026년 대통령과학장학금 신규장학생 신청 안내,https://www.hongik.ac.kr/kr/newscenter/notice.do?mode=view&articleNo=150557&article.offset=230&articleLimit=10&noCat=501,2026.04.08,장학/근로
